127.0.0.1 - - [06/Aug/2019:09:10:58 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:10:59 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 895
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:10:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:13:38 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:13:39 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:14:07 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:14:08 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:14:08 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:14:09 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:14:09 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:15:15 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:16:30 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:16:42 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:16:43 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:16:49 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:16:57 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:20:29 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:20:30 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:20:55 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:22:12 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:24:09 +0900] "GET /miniProject/mainView.jsp HTTP/1.1" 200 834
